pmid,title,abstract,category,tags,technology,biological_topic,confidence,has_new_data,has_code
41533475,Utility of Fluorescence In Situ Hybridization as a Fetal Surgery Eligibility Criterion for Isolated Congenital Anomalies When Non-Invasive Screening Is Performed.,Current inclusion criteria for fetal surgery at most centers include the absence of multiple major anomalies and a normal chromosome analysis or fluorescence in situ hybridization (FISH) for aneuploidy. We evaluated the concordance of FISH with non-invasive screening methodologies to determine if invasive genetic testing provides additional information on fetal surgery candidacy. A retrospective chart review was performed on 963 pregnancies evaluated for fetal surgery at the Cincinnati Children',Research,,,,low,False,False
27153382,Detection of Papillomavirus Gene Expression Patterns in Tissue Sections.,"Molecular events during the papillomavirus life cycle can be mapped in infected tissue biopsies using antibodies to viral and cellular gene products, or by in situ hybridization approaches that detect viral DNA or viral transcription products. For proteins, ease of immunodetection depends on antibody specificity and antigen availability. Epitopes in formalin-fixed paraffin-embedded (FFPE) samples are often masked by crosslinking and must be exposed for immunodetection. RNA in FFPE material is of",Protocol,Image-Based Analysis,,Infectious Disease,medium,False,False
40924538,BISON: bi-clustering of spatial omics data with feature selection.,"The advent of next-generation sequencing-based spatially resolved transcriptomics (SRT) techniques has reshaped genomic studies by enabling high-throughput gene expression profiling while preserving spatial and morphological context. Understanding gene functions and interactions in different spatial domains is crucial, as it can enhance our comprehension of biological mechanisms, such as cancer-immune interactions and cell differentiation in various regions. It is necessary to cluster tissue reg",Technology,Spatial Domain Identification; Spatially Variable Genes,,,high,False,True
27790742,"The utility of ETV1, ETV4 and ETV5 RNA in-situ hybridization in the diagnosis of CIC-DUX sarcomas.","A recently characterized group of undifferentiated small round cell sarcomas harbours fusions of the genes CIC and DUX4. Studies report a distinctive gene expression profile for these sarcomas, including expression of E26 transformation-specific (ETS) family proto-oncogenic transcription factors ETV1, ETV4 and ETV5. To test the utility of an ancillary diagnostic technique for these tumours, we evaluated chromogenic RNA in-situ hybridization assays for ETV1, ETV4 and ETV5 as diagnostic adjuncts f",Research,Image-Based Analysis,,Cancer,medium,True,False
40520021,Integrative Single-Cell and Spatial Transcriptomics Analysis Reveals ECM-remodeling Cancer-associated Fibroblast-Derived POSTN as a Key Mediator in Pancreatic Ductal Adenocarcinoma Progression.,"Pancreatic ductal adenocarcinoma (PDAC) presents significant clinical challenges owing to its dense stroma and complex tumor microenvironment (TME). In this study, large-scale single-cell transcriptomics and spatial transcriptomics (ST) were integrated to dissect the heterogeneity of fibroblasts and their crosstalk with epithelial cells, with a focus on key ligand-receptor interactions. Eight distinct fibroblast subpopulations were identified, among which extracellular matrix (ECM)-remodeling fi",Research,Cell-Cell Communication; Spatial Trajectory Inference; Cell-Type Deconvolution; Spatial Integration,,Cancer,high,True,False
40611896,The Spatial Atlas of Human Anatomy (SAHA): A Multimodal Subcellular-Resolution Reference Across Human Organs.,"The Spatial Atlas of Human Anatomy (SAHA) represents the first multimodal, subcellular-resolution reference of healthy adult human tissues across multiple organ systems. Integrating spatial transcriptomics, proteomics, and histological features across over 15 million cells from more than 100 donors, SAHA maps conserved and organ-specific cellular niches in gastrointestinal and immune tissues. High-resolution profiling using CosMx SMI, 10x Xenium, RNAscope, GeoMx DSP, and single-nucleus RNA-seq r",Data Resource,Spatial Domain Identification; Cell-Cell Communication; Spatial Integration; Multi-Omics Integration,CosMx; Xenium; GeoMx,Gastrointestinal,high,True,True
40281655,Macrophage Lyn Kinase Is a Sex-Specific Regulator of Post-Subarachnoid Hemorrhage Neuroinflammation.,"Lyn kinase is a member of the Src family of tyrosine kinases, primarily known for its role in regulating immune cell signaling. It can phosphorylate and modulate the activity of various proteins involved in immune responses, including Toll-like receptor 4 (TLR4). TLR4-mediated inflammatory pathways have been extensively studied; however, the sex-specific interaction of TLR4 and Lyn in neuroinflammation after aneurysmal subarachnoid hemorrhage (SAH) has yet to be investigated. SAH occurs due to a",Research,,,Neuroscience,medium,True,False
39671282,Protocol for single-molecule FISH in the developing mouse retinal vasculature.,The developing vasculature of the post-natal mouse retina is a powerful model to discover mechanisms of vessel formation and to test modulators of neovascularization. We present a protocol for single-molecule fluorescent in situ hybridization (smFISH) in whole-mount mouse retinas enabling the detection of individual mRNAs in vascular endothelial cells. We describe procedures from initial retina preparation to smFISH and detection. Our approach offers simple steps to overcome challenges related t,Protocol,Image-Based Analysis,,Developmental Biology,high,False,False
35171486,Analyzing the Composition and Organization of Ribonucleoprotein Complexes by APEX-Seq.,"Diverse protein-RNA complexes assemble in cells, and their composition and localization regulate the fate of mRNAs. Here, we detail APEX-Seq, an experimental strategy to capture protein-RNA interactions and profile their sub-cellular organization by in vivo proximity labeling and high-throughput sequencing. APEX-Seq relies on direct proximity labeling of RNAs by the peroxidase enzyme APEX2, which can be targeted to specific sites in the cell or fused to proteins of interest. Direct RNA proximity",Technology,,,,medium,False,False
41751412,From GWAS Signals to Causal Genes in Chronic Kidney Disease.,"Genome-wide association studies (GWAS) have transformed the study of chronic kidney disease (CKD) by identifying hundreds of genetic loci associated with multiple aspects of kidney function, including albuminuria and CKD risk factors, in diverse populations. A major challenge is translating statistically significant signals into causal genes and mechanisms, as most CKD-associated variants lie in non-coding regulatory regions and often act in a cell type- and context-specific manner. In this revi",Review,,,Kidney & Nephrology,high,False,False
